td_id,spotsID,scenicSpots,time,day,people,cost
19227571,12711,云南,null,null,null,null
19201888,12711,云南,出发时间/2020-04-12,出行天数/1 天,人物/情侣/夫妻,人均费用/60RMB
18565243,12711,云南,出发时间/2019-12-16,出行天数/7 天,人物/家庭出游,人均费用/2500RMB
19234294,12711,云南,出发时间/2019-10-07,出行天数/7 天,人物/一个人,人均费用/3000RMB
19212961,12711,云南,出发时间/2019-03-16,出行天数/10 天,人物/ 和朋友,人均费用/12000RMB
18840781,12711,云南,出发时间/2018-08-12,出行天数/9 天,人物/其它,人均费用/7000RMB
19235461,12711,云南,出发时间/2018-09-07,出行天数/8 天,人物/情侣/夫妻,人均费用/7000RMB
18812227,12711,云南,出发时间/2019-09-28,出行天数/12 天,人物/ 和朋友,人均费用/6700RMB
18829165,12711,云南,出发时间/2019-05-21,出行天数/8 天,人物/情侣/夫妻,人均费用/5000RMB
19235338,12711,云南,出发时间/2016-03-12,出行天数/9 天,人物/ 和朋友,人均费用/5000RMB
19006357,12711,云南,出发时间/2019-08-12,出行天数/10 天,人物/家庭出游,null
19199740,12711,云南,出发时间/2019-06-10,出行天数/9 天,人物/情侣/夫妻,人均费用/5000RMB
19235047,12711,云南,出发时间/2018-10-30,出行天数/12 天,人物/ 和朋友,人均费用/5000RMB
19080970,12711,云南,出发时间/2019-09-30,出行天数/9 天,人物/ 和朋友,人均费用/4500RMB
18706681,12711,云南,出发时间/2019-12-26,出行天数/8 天,人物/家庭出游,人均费用/2900RMB
19234957,12711,云南,出发时间/2018-09-01,出行天数/7 天,人物/ 和朋友,人均费用/3200RMB
19189696,12711,云南,出发时间/2018-09-01,出行天数/7 天,人物/ 和朋友,人均费用/3200RMB
19200970,12711,云南,出发时间/2018-02-20,出行天数/6 天,人物/ 和朋友,人均费用/6000RMB
18672058,12711,云南,出发时间/2020-01-04,出行天数/15 天,人物/一个人,人均费用/7500RMB
19189921,12711,云南,出发时间/2018-09-07,出行天数/8 天,人物/情侣/夫妻,人均费用/7000RMB
19123444,12711,云南,出发时间/2019-09-29,出行天数/9 天,人物/家庭出游,null
19203463,12711,云南,null,null,null,null
19227508,12711,云南,null,null,null,null
18788278,12711,云南,出发时间/2019-03-21,出行天数/6 天,人物/其它,人均费用/2000RMB
18628276,12711,云南,出发时间/2019-08-05,出行天数/8 天,人物/家庭出游,null
18582301,12711,云南,出发时间/2019-03-15,出行天数/19 天,人物/ 和朋友,人均费用/4800RMB
5557466,12711,云南,出发时间/2016-06-09,出行天数/20 天,人物/一个人,人均费用/6000RMB
19025149,12711,云南,出发时间/2019-05-30,出行天数/11 天,人物/ 和朋友,人均费用/3500RMB
18549703,12711,云南,出发时间/2020-01-17,出行天数/7 天,人物/ 和朋友,人均费用/6000RMB
19234924,12711,云南,出发时间/2018-09-15,出行天数/10 天,人物/家庭出游,人均费用/5000RMB
18887170,12711,云南,null,null,null,null
19235191,12711,云南,出发时间/2019-09-28,出行天数/12 天,人物/ 和朋友,人均费用/6700RMB
19235011,12711,云南,出发时间/2019-09-28,出行天数/12 天,人物/ 和朋友,人均费用/6700RMB
18762340,12711,云南,出发时间/2019-10-29,出行天数/7 天,人物/情侣/夫妻,null
18517069,12711,云南,出发时间/2017-11-21,出行天数/9 天,人物/一个人,null
19235095,12711,云南,出发时间/2018-02-20,出行天数/6 天,人物/ 和朋友,人均费用/6000RMB
18569962,12711,云南,出发时间/2018-12-29,出行天数/10 天,人物/ 和朋友,人均费用/5000RMB
18998281,12711,云南,出发时间/2019-01-19,出行天数/15 天,人物/一个人,人均费用/3000RMB
