spotsID,scenicSpots,url
guangdong228,广东,d-guangdong228.html
zhejiang96,浙江,d-zhejiang96.html
shandong159,山东,d-shandong159.html
yunnan312,云南,d-yunnan312.html
jiangsu80,江苏,d-jiangsu80.html
fujian135,福建,d-fujian135.html
sichuan278,四川,d-sichuan278.html
hunan212,湖南,d-hunan212.html
hubei198,湖北,d-hubei198.html
hebei3,河北,d-hebei3.html
anhui118,安徽,d-anhui118.html
henan179,河南,d-henan179.html
hainan267,海南,d-hainan267.html
guangxi251,广西,d-guangxi251.html
jiangxi145,江西,d-jiangxi145.html
shanxi15,山西,d-shanxi15.html
neimenggu27,内蒙古,d-neimenggu27.html
guizhou300,贵州,d-guizhou300.html
xizang331,西藏,d-xizang331.html
zhongguotaiwan401,台湾,d-zhongguotaiwan401.html
taiguo3542,泰国,d-taiguo3542.html
riben3543,日本,d-riben3543.html
xinjiapo3569,新加坡,d-xinjiapo3569.html
malaixiya3570,马来西亚,d-malaixiya3570.html
maerdaifu3546,马尔代夫,d-maerdaifu3546.html
yuenan3624,越南,d-yuenan3624.html
jianpuzhai3623,柬埔寨,d-jianpuzhai3623.html
niboer3626,尼泊尔,d-niboer3626.html
feilvbin3576,菲律宾,d-feilvbin3576.html
alianqiu3575,阿联酋,d-alianqiu3575.html
tuerqi3574,土耳其,d-tuerqi3574.html
sililanka3656,斯里兰卡,d-sililanka3656.html
miandian3872,缅甸,d-miandian3872.html
yindu3627,印度,d-yindu3627.html
wenlai3616,文莱,d-wenlai3616.html
yilang203280,伊朗,d-yilang203280.html
faguo3559,法国,d-faguo3559.html
yidali3562,意大利,d-yidali3562.html
deguo3561,德国,d-deguo3561.html
ruishi3560,瑞士,d-ruishi3560.html
helan3635,荷兰,d-helan3635.html
yingguo3558,英国,d-yingguo3558.html
aodili3637,奥地利,d-aodili3637.html
bilishi3753,比利时,d-bilishi3753.html
xibanya3636,西班牙,d-xibanya3636.html
eluosi3638,俄罗斯,d-eluosi3638.html
xila3634,希腊,d-xila3634.html
jieke3795,捷克,d-jieke3795.html
xiongyali3799,匈牙利,d-xiongyali3799.html
putaoya3798,葡萄牙,d-putaoya3798.html
aierlan3913,爱尔兰,d-aierlan3913.html
bingdao3614,冰岛,d-bingdao3614.html
maoliqiusi3629,毛里求斯,d-maoliqiusi3629.html
aiji3572,埃及,d-aiji3572.html
kenniya3630,肯尼亚,d-kenniya3630.html
saisheer3707,塞舌尔,d-saisheer3707.html
moluoge3650,摩洛哥,d-moluoge3650.html
madajiasijia3741,马达加斯加,d-madajiasijia3741.html
meiguo3571,美国,d-meiguo3571.html
jianada3651,加拿大,d-jianada3651.html
moxige3701,墨西哥,d-moxige3701.html
guba3702,古巴,d-guba3702.html
baxi3703,巴西,d-baxi3703.html
bilu3700,秘鲁,d-bilu3700.html
aodaliya3596,澳大利亚,d-aodaliya3596.html
xinxilan3597,新西兰,d-xinxilan3597.html
feiji3628,斐济,d-feiji3628.html
